Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx,Math_GFLOPs,C2_GFLOPs,C3_GFLOPs,C4_GFLOPs,C5_GFLOPs
980,"[22, 12, 35, 39]",0.6521240651607514,48,3,22,32,1,12,72,4,35,80,4,39,2.284672,1.26976,0.292864,0.2579968,0.1093504
116,"[22, 30, 48, 27]",0.6557838201522828,48,3,22,64,3,30,104,1,48,56,4,27,2.6818688,1.26976,0.7876608,0.1564672,0.11328
837,"[22, 36, 45, 43]",0.658519583940506,48,3,22,80,1,36,96,2,45,88,4,43,2.4852992,1.26976,0.3616768,0.3460096,0.153152
766,"[22, 12, 6, 27]",0.661873459815979,48,3,22,32,1,12,16,3,6,56,4,27,1.9944192,1.26976,0.292864,0.0405504,0.036544
514,"[22, 27, 32, 38]",0.6626910746097565,48,3,22,56,4,27,72,1,32,80,3,38,2.6728448,1.26976,0.8476672,0.1129984,0.0877184
475,"[29, 30, 8, 23]",0.6630308747291564,64,2,29,64,3,30,24,1,8,48,4,23,2.6807808,1.1747328,1.0010624,0.1196032,0.0306816
331,"[26, 15, 40, 46]",0.6655712366104126,56,3,26,32,4,15,88,1,40,96,3,46,2.743424,1.6449536,0.5658624,0.0505856,0.1273216
204,"[22, 27, 28, 21]",0.6694549679756164,48,3,22,56,4,27,64,1,28,48,2,21,2.6225792,1.26976,0.8476672,0.1097216,0.0407296
879,"[22, 24, 43, 19]",0.6713306784629822,48,3,22,56,1,24,88,4,43,40,4,19,2.45792,1.26976,0.3272704,0.432128,0.0740608
732,"[22, 19, 47, 46]",0.6724168837070466,48,3,22,40,4,19,96,4,47,96,3,46,2.7835264,1.26976,0.5777408,0.4432384,0.1380864
752,"[21, 38, 28, 39]",0.6762464046478271,48,2,21,80,3,38,64,1,28,80,4,39,2.4680064,0.753664,1.0539008,0.2044928,0.101248
17,"[22, 29, 40, 15]",0.6784631788730622,48,3,22,64,2,29,88,1,40,32,4,15,2.403712,1.26976,0.5632,0.1490944,0.0669568
989,"[22, 34, 24, 37]",0.679295688867569,48,3,22,72,3,34,56,1,24,80,2,37,2.7549184,1.26976,0.9142272,0.1655296,0.0507008
437,"[29, 41, 4, 11]",0.6797923922538758,64,2,29,88,2,41,16,1,4,24,4,11,2.7650816,1.1747328,1.0131456,0.2131456,0.0093568
679,"[25, 34, 28, 50]",0.6802743434906006,56,2,25,72,3,34,64,1,28,104,3,50,2.6027648,0.9510912,1.0160128,0.1696256,0.1113344
