Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
980,"[22, 12, 35, 39]",0.6521240651607514,48,3,22,32,1,12,72,4,35,80,4,39
116,"[22, 30, 48, 27]",0.6557838201522828,48,3,22,64,3,30,104,1,48,56,4,27
837,"[22, 36, 45, 43]",0.658519583940506,48,3,22,80,1,36,96,2,45,88,4,43
766,"[22, 12, 6, 27]",0.661873459815979,48,3,22,32,1,12,16,3,6,56,4,27
514,"[22, 27, 32, 38]",0.6626910746097565,48,3,22,56,4,27,72,1,32,80,3,38
475,"[29, 30, 8, 23]",0.6630308747291564,64,2,29,64,3,30,24,1,8,48,4,23
331,"[26, 15, 40, 46]",0.6655712366104126,56,3,26,32,4,15,88,1,40,96,3,46
204,"[22, 27, 28, 21]",0.6694549679756164,48,3,22,56,4,27,64,1,28,48,2,21
879,"[22, 24, 43, 19]",0.6713306784629822,48,3,22,56,1,24,88,4,43,40,4,19
732,"[22, 19, 47, 46]",0.6724168837070466,48,3,22,40,4,19,96,4,47,96,3,46
752,"[21, 38, 28, 39]",0.6762464046478271,48,2,21,80,3,38,64,1,28,80,4,39
17,"[22, 29, 40, 15]",0.6784631788730622,48,3,22,64,2,29,88,1,40,32,4,15
989,"[22, 34, 24, 37]",0.679295688867569,48,3,22,72,3,34,56,1,24,80,2,37
437,"[29, 41, 4, 11]",0.6797923922538758,64,2,29,88,2,41,16,1,4,24,4,11
679,"[25, 34, 28, 50]",0.6802743434906006,56,2,25,72,3,34,64,1,28,104,3,50
676,"[25, 24, 38, 27]",0.6807020366191864,56,2,25,56,1,24,80,3,38,56,4,27
349,"[22, 28, 39, 45]",0.6808666944503784,48,3,22,64,1,28,80,4,39,96,2,45
883,"[22, 15, 8, 37]",0.6817006826400757,48,3,22,32,4,15,24,1,8,80,2,37
281,"[22, 11, 31, 21]",0.6846795022487641,48,3,22,24,4,11,64,4,31,48,2,21
