Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
702,"[18, 41, 47, 39]",0.9143179544696102,40,3,18,88,2,41,96,4,47,80,4,39
350,"[25, 37, 35, 35]",0.9153362696553454,56,2,25,80,2,37,72,4,35,72,4,35
240,"[21, 30, 51, 31]",0.9156398751117565,48,2,21,64,3,30,104,4,51,64,4,31
76,"[25, 37, 35, 31]",0.917505501229086,56,2,25,80,2,37,72,4,35,64,4,31
683,"[25, 34, 45, 35]",0.9175842242476381,56,2,25,72,3,34,96,2,45,72,4,35
568,"[17, 38, 51, 50]",0.918800284833084,40,2,17,80,3,38,104,4,51,104,3,50
946,"[17, 53, 46, 51]",0.9207525908211132,40,2,17,112,2,53,96,3,46,104,4,51
290,"[22, 19, 50, 39]",0.9209608111852481,48,3,22,40,4,19,104,3,50,80,4,39
545,"[21, 53, 34, 35]",0.9223931365542941,48,2,21,112,2,53,72,3,34,72,4,35
779,"[25, 27, 57, 27]",0.9308807511388519,56,2,25,56,4,27,120,2,57,56,4,27
85,"[22, 21, 42, 46]",0.9318238599800769,48,3,22,48,2,21,88,3,42,96,3,46
133,"[32, 34, 50, 35]",0.9341403268001698,72,1,32,72,3,34,104,3,50,72,4,35
611,"[18, 22, 51, 34]",0.9343588882022433,40,3,18,48,3,22,104,4,51,72,3,34
506,"[25, 45, 21, 51]",0.9346644260265209,56,2,25,96,2,45,48,2,21,104,4,51
26,"[25, 31, 36, 55]",0.9363037965915821,56,2,25,64,4,31,80,1,36,112,4,55
115,"[21, 34, 39, 33]",0.937743267895263,48,2,21,72,3,34,80,4,39,72,2,33
957,"[32, 38, 27, 47]",0.9382483017297438,72,1,32,80,3,38,56,4,27,96,4,47
128,"[21, 37, 29, 55]",0.9396375226385799,48,2,21,80,2,37,64,2,29,112,4,55
339,"[21, 31, 43, 10]",0.9400931236184673,48,2,21,64,4,31,88,4,43,24,3,10
221,"[22, 28, 54, 47]",0.9412789984985634,48,3,22,64,1,28,112,3,54,96,4,47
764,"[21, 30, 41, 34]",0.9422035379174315,48,2,21,64,3,30,88,2,41,72,3,34
772,"[29, 27, 20, 43]",0.9434570765789644,64,2,29,56,4,27,48,1,20,88,4,43
614,"[17, 21, 55, 51]",0.9436337727087515,40,2,17,48,2,21,112,4,55,104,4,51
100,"[17, 42, 38, 14]",0.9439429199254071,40,2,17,88,3,42,80,3,38,32,3,14
559,"[28, 45, 35, 51]",0.9447973282248886,64,1,28,96,2,45,72,4,35,104,4,51
223,"[22, 15, 26, 55]",0.9450984332296584,48,3,22,32,4,15,56,3,26,112,4,55
897,"[19, 18, 34, 50]",0.9461406719537429,40,4,19,40,3,18,72,3,34,104,3,50
774,"[17, 49, 31, 26]",0.9470817630673632,40,2,17,104,2,49,64,4,31,56,3,26
121,"[14, 34, 33, 51]",0.9475425084431967,32,3,14,72,3,34,72,2,33,104,4,51
832,"[20, 46, 57, 51]",0.9478941817342499,48,1,20,96,3,46,120,2,57,104,4,51
923,"[40, 34, 29, 39]",0.9481010216253775,88,1,40,72,3,34,64,2,29,80,4,39
575,"[14, 38, 34, 19]",0.9484175958751161,32,3,14,80,3,38,72,3,34,40,4,19
30,"[17, 49, 47, 57]",0.9489147736702437,40,2,17,104,2,49,96,4,47,120,2,57
893,"[15, 34, 27, 27]",0.9493643641471863,32,4,15,72,3,34,56,4,27,56,4,27
894,"[18, 44, 50, 51]",0.9500442765377186,40,3,18,96,1,44,104,3,50,104,4,51
820,"[11, 34, 59, 39]",0.9505365395251616,24,4,11,72,3,34,120,4,59,80,4,39
755,"[17, 53, 47, 45]",0.9505367463017688,40,2,17,112,2,53,96,4,47,96,2,45
745,"[40, 26, 47, 19]",0.9518543776170707,88,1,40,56,3,26,96,4,47,40,4,19
200,"[17, 38, 39, 7]",0.9520073452113588,40,2,17,80,3,38,80,4,39,16,4,7
677,"[16, 35, 47, 43]",0.9520252538316044,40,1,16,72,4,35,96,4,47,88,4,43
878,"[44, 34, 22, 31]",0.9526386717219412,96,1,44,72,3,34,48,3,22,64,4,31
470,"[25, 26, 15, 58]",0.9527938704431793,56,2,25,56,3,26,32,4,15,120,3,58
32,"[25, 52, 43, 38]",0.9530039679856948,56,2,25,112,1,52,88,4,43,80,3,38
669,"[40, 29, 58, 31]",0.9532355261437687,88,1,40,64,2,29,120,3,58,64,4,31
141,"[36, 35, 25, 31]",0.9534323715869292,80,1,36,72,4,35,56,2,25,64,4,31
824,"[29, 22, 10, 59]",0.9540442059069504,64,2,29,48,3,22,24,3,10,120,4,59
768,"[19, 14, 26, 55]",0.9548412259714103,40,4,19,32,3,14,56,3,26,112,4,55
690,"[10, 43, 34, 42]",0.9551826590373192,24,3,10,88,4,43,72,3,34,88,3,42
439,"[32, 23, 31, 47]",0.955644597241908,72,1,32,48,4,23,64,4,31,96,4,47
283,"[13, 33, 54, 54]",0.955732156465083,32,2,13,72,2,33,112,3,54,112,3,54
203,"[29, 19, 34, 49]",0.9559170574317744,64,2,29,40,4,19,72,3,34,104,2,49
899,"[24, 38, 53, 31]",0.9562933415542414,56,1,24,80,3,38,112,2,53,64,4,31
462,"[15, 29, 46, 23]",0.956335167090098,32,4,15,64,2,29,96,3,46,48,4,23
248,"[21, 30, 32, 47]",0.9564410573170509,48,2,21,64,3,30,72,1,32,96,4,47
958,"[14, 31, 51, 41]",0.9567935797903273,32,3,14,64,4,31,104,4,51,88,2,41
534,"[18, 40, 51, 42]",0.9575578769048055,40,3,18,88,1,40,104,4,51,88,3,42
333,"[14, 45, 49, 54]",0.957634891256874,32,3,14,96,2,45,104,2,49,112,3,54
967,"[52, 18, 38, 47]",0.9578312628063155,112,1,52,40,3,18,80,3,38,96,4,47
87,"[17, 26, 38, 15]",0.958342906869488,40,2,17,56,3,26,80,3,38,32,4,15
827,"[33, 24, 38, 26]",0.958667395291505,72,2,33,56,1,24,80,3,38,56,3,26
816,"[21, 23, 18, 23]",0.9587656200667958,48,2,21,48,4,23,40,3,18,48,4,23
309,"[14, 30, 43, 53]",0.9588932549511945,32,3,14,64,3,30,88,4,43,112,2,53
280,"[29, 14, 15, 51]",0.9592340169129548,64,2,29,32,3,14,32,4,15,104,4,51
67,"[40, 41, 33, 35]",0.959639408706147,88,1,40,88,2,41,72,2,33,72,4,35
802,"[17, 38, 30, 57]",0.9598302399670636,40,2,17,80,3,38,64,3,30,120,2,57
762,"[14, 53, 47, 33]",0.9605254170335369,32,3,14,112,2,53,96,4,47,72,2,33
40,"[36, 29, 39, 23]",0.9606357231552218,80,1,36,64,2,29,80,4,39,48,4,23
20,"[14, 38, 49, 22]",0.9608253593798037,32,3,14,80,3,38,104,2,49,48,3,22
961,"[33, 15, 22, 19]",0.9609058992362317,72,2,33,32,4,15,48,3,22,40,4,19
966,"[29, 23, 37, 14]",0.9613316147415726,64,2,29,48,4,23,80,2,37,32,3,14
497,"[14, 45, 51, 25]",0.961571748609896,32,3,14,96,2,45,104,4,51,56,2,25
481,"[22, 36, 38, 30]",0.9620383065423848,48,3,22,80,1,36,80,3,38,64,3,30
592,"[17, 35, 10, 47]",0.9621718709851489,40,2,17,72,4,35,24,3,10,96,4,47
857,"[24, 42, 38, 15]",0.9622908867435691,56,1,24,88,3,42,80,3,38,32,4,15
502,"[13, 57, 57, 35]",0.9623216611367685,32,2,13,120,2,57,120,2,57,72,4,35
837,"[33, 32, 22, 47]",0.9623743244159368,72,2,33,72,1,32,48,3,22,96,4,47
596,"[29, 48, 41, 31]",0.9626142331111578,64,2,29,104,1,48,88,2,41,64,4,31
105,"[44, 30, 45, 38]",0.9631246298919489,96,1,44,64,3,30,96,2,45,80,3,38
414,"[14, 38, 42, 29]",0.9632358315550251,32,3,14,80,3,38,88,3,42,64,2,29
370,"[33, 15, 17, 46]",0.9632899864220325,72,2,33,32,4,15,40,2,17,96,3,46
558,"[10, 33, 55, 42]",0.9633351439311181,24,3,10,72,2,33,112,4,55,88,3,42
664,"[44, 19, 34, 43]",0.9636461462503598,96,1,44,40,4,19,72,3,34,88,4,43
63,"[25, 37, 11, 35]",0.9641934846654351,56,2,25,80,2,37,24,4,11,72,4,35
518,"[12, 42, 58, 27]",0.9642767920906161,32,1,12,88,3,42,120,3,58,56,4,27
47,"[15, 27, 42, 15]",0.9647299066001986,32,4,15,56,4,27,88,3,42,32,4,15
57,"[10, 49, 55, 22]",0.9648211223107798,24,3,10,104,2,49,112,4,55,48,3,22
548,"[32, 22, 58, 38]",0.9651036976296224,72,1,32,48,3,22,120,3,58,80,3,38
346,"[14, 45, 18, 31]",0.9652466325112331,32,3,14,96,2,45,40,3,18,64,4,31
