image_id,hard_gt_count,baseline_recall,improved_recall,recall_delta,baseline_precision_proxy,improved_precision_proxy,precision_proxy_delta,baseline_pred_count,improved_pred_count,baseline_tp,improved_tp,baseline_fp,improved_fp,mean_hard_face_size
10--People_Marching/10_People_Marching_People_Marching_2_236,1,0.0,1.0,1.0,0.0,0.001247,0.001247,1006,802,0,1,1006,801,26.9815
14--Traffic/14_Traffic_Traffic_14_361,1,0.0,1.0,1.0,0.0,0.001565,0.001565,666,639,0,1,666,638,14.4914
14--Traffic/14_Traffic_Traffic_14_722,1,0.0,1.0,1.0,0.0,0.002809,0.002809,420,356,0,1,420,355,15.0
35--Basketball/35_Basketball_playingbasketball_35_283,1,0.0,1.0,1.0,0.0,0.002695,0.002695,486,371,0,1,486,370,128.1249
39--Ice_Skating/39_Ice_Skating_iceskiing_39_869,1,0.0,1.0,1.0,0.0,0.002801,0.002801,326,357,0,1,326,356,30.5941
41--Swimming/41_Swimming_Swimmer_41_288,1,0.0,1.0,1.0,0.0,0.00641,0.00641,158,156,0,1,158,155,191.7915
53--Raid/53_Raid_policeraid_53_207,7,0.142857,0.714286,0.571429,0.001855,0.005889,0.004034,539,849,1,5,538,844,12.3965
37--Soccer/37_Soccer_soccer_ball_37_692,6,0.333333,0.833333,0.5,0.002427,0.004019,0.001592,824,1244,2,5,822,1239,10.7244
39--Ice_Skating/39_Ice_Skating_Ice_Skating_39_176,4,0.5,1.0,0.5,0.019231,0.025,0.005769,104,160,2,4,102,156,47.4701
13--Interview/13_Interview_Interview_Sequences_13_92,2,0.5,1.0,0.5,0.003096,0.005917,0.002821,323,338,1,2,322,336,17.7611
2--Demonstration/2_Demonstration_Demonstrators_2_666,2,0.5,1.0,0.5,0.002421,0.00639,0.003968,413,313,1,2,412,311,40.5692
26--Soldier_Drilling/26_Soldier_Drilling_Soldiers_Drilling_26_359,2,0.5,1.0,0.5,0.00365,0.004843,0.001193,274,413,1,2,273,411,78.647
39--Ice_Skating/39_Ice_Skating_iceskiing_39_529,2,0.5,1.0,0.5,0.003584,0.012903,0.009319,279,155,1,2,278,153,78.1771
53--Raid/53_Raid_policeraid_53_107,2,0.5,1.0,0.5,0.001887,0.003984,0.002097,530,502,1,2,529,500,36.5448
59--people--driving--car/59_peopledrivingcar_peopledrivingcar_59_856,2,0.5,1.0,0.5,0.001143,0.002604,0.001461,875,768,1,2,874,766,16.4191
21--Festival/21_Festival_Festival_21_219,17,0.235294,0.705882,0.470588,0.003854,0.009828,0.005974,1038,1221,4,12,1034,1209,16.4926
35--Basketball/35_Basketball_Basketball_35_449,7,0.571429,1.0,0.428571,0.002903,0.00541,0.002507,1378,1294,4,7,1374,1287,13.7209
0--Parade/0_Parade_marchingband_1_78,40,0.3,0.725,0.425,0.004345,0.009468,0.005123,2762,3063,12,29,2750,3034,9.1873
38--Tennis/38_Tennis_Tennis_38_232,10,0.4,0.8,0.4,0.005698,0.01,0.004302,702,800,4,8,698,792,10.1416
23--Shoppers/23_Shoppers_Shoppers_23_232,5,0.4,0.8,0.4,0.004673,0.007619,0.002946,428,525,2,4,426,521,16.2802
0--Parade/0_Parade_Parade_0_478,13,0.461538,0.846154,0.384615,0.008097,0.015406,0.007309,741,714,6,11,735,703,13.5745
56--Voter/56_Voter_peoplevoting_56_558,38,0.368421,0.736842,0.368421,0.011523,0.021053,0.00953,1215,1330,14,28,1201,1302,12.5357
35--Basketball/35_Basketball_basketballgame_ball_35_393,20,0.65,1.0,0.35,0.021631,0.032787,0.011156,601,610,13,20,588,590,11.8607
23--Shoppers/23_Shoppers_Shoppers_23_511,35,0.342857,0.685714,0.342857,0.005894,0.010695,0.004801,2036,2244,12,24,2024,2220,10.0552
2--Demonstration/2_Demonstration_Demonstration_Or_Protest_2_450,9,0.666667,1.0,0.333333,0.007905,0.013081,0.005176,759,688,6,9,753,679,23.5573
35--Basketball/35_Basketball_basketballgame_ball_35_216,6,0.666667,1.0,0.333333,0.002189,0.003425,0.001235,1827,1752,4,6,1823,1746,12.9952
44--Aerobics/44_Aerobics_Aerobics_44_127,6,0.5,0.833333,0.333333,0.004471,0.007194,0.002723,671,695,3,5,668,690,27.4374
44--Aerobics/44_Aerobics_Aerobics_44_549,6,0.666667,1.0,0.333333,0.016529,0.022642,0.006113,242,265,4,6,238,259,40.4767
59--people--driving--car/59_peopledrivingcar_peopledrivingcar_59_404,6,0.666667,1.0,0.333333,0.006791,0.012397,0.005606,589,484,4,6,585,478,33.713
12--Group/12_Group_Team_Organized_Group_12_Group_Team_Organized_Group_12_536,3,0.666667,1.0,0.333333,0.009709,0.022388,0.012679,206,134,2,3,204,131,74.6367
