image_id,hard_gt_count,baseline_recall,improved_recall,recall_delta,baseline_precision_proxy,improved_precision_proxy,precision_proxy_delta,baseline_pred_count,improved_pred_count,baseline_tp,improved_tp,baseline_fp,improved_fp,mean_hard_face_size
25--Soldier_Patrol/25_Soldier_Patrol_Soldier_Patrol_25_436,1,1.0,0.0,-1.0,0.000917,0.0,-0.000917,1090,809,1,0,1089,809,108.9954
25--Soldier_Patrol/25_Soldier_Patrol_Soldier_Patrol_25_614,1,1.0,0.0,-1.0,0.001131,0.0,-0.001131,884,862,1,0,883,862,51.303
25--Soldier_Patrol/25_Soldier_Patrol_Soldier_Patrol_25_9,1,1.0,0.0,-1.0,0.002347,0.0,-0.002347,426,368,1,0,425,368,98.7117
26--Soldier_Drilling/26_Soldier_Drilling_Soldiers_Drilling_26_710,1,1.0,0.0,-1.0,0.016949,0.0,-0.016949,59,25,1,0,58,25,670.6996
27--Spa/27_Spa_Spa_27_212,1,1.0,0.0,-1.0,0.003731,0.0,-0.003731,268,184,1,0,267,184,345.3925
40--Gymnastics/40_Gymnastics_Gymnastics_40_255,1,1.0,0.0,-1.0,0.001062,0.0,-0.001062,942,834,1,0,941,834,49.4773
41--Swimming/41_Swimming_Swimmer_41_449,1,1.0,0.0,-1.0,0.001353,0.0,-0.001353,739,815,1,0,738,815,53.963
41--Swimming/41_Swimming_Swimmer_41_564,1,1.0,0.0,-1.0,0.005618,0.0,-0.005618,178,142,1,0,177,142,98.8737
41--Swimming/41_Swimming_Swimming_41_26,1,1.0,0.0,-1.0,0.002994,0.0,-0.002994,334,211,1,0,333,211,77.5887
5--Car_Accident/5_Car_Accident_Car_Crash_5_451,1,1.0,0.0,-1.0,0.001689,0.0,-0.001689,592,448,1,0,591,448,25.8263
6--Funeral/6_Funeral_Funeral_6_280,1,1.0,0.0,-1.0,0.001678,0.0,-0.001678,596,454,1,0,595,454,246.0732
24--Soldier_Firing/24_Soldier_Firing_Soldier_Firing_24_281,3,0.666667,0.0,-0.666667,0.003053,0.0,-0.003053,655,455,2,0,653,455,14.7867
19--Couple/19_Couple_Couple_19_319,2,1.0,0.5,-0.5,0.004843,0.002404,-0.002439,413,416,2,1,411,415,41.0118
24--Soldier_Firing/24_Soldier_Firing_Soldier_Firing_24_133,2,1.0,0.5,-0.5,0.004464,0.00369,-0.000774,448,271,2,1,446,270,47.7672
35--Basketball/35_Basketball_playingbasketball_35_19,2,1.0,0.5,-0.5,0.00319,0.001656,-0.001534,627,604,2,1,625,603,35.3219
36--Football/36_Football_americanfootball_ball_36_16,2,1.0,0.5,-0.5,0.00692,0.003846,-0.003074,289,260,2,1,287,259,142.3779
37--Soccer/37_Soccer_Soccer_37_415,2,1.0,0.5,-0.5,0.003356,0.001208,-0.002148,596,828,2,1,594,827,69.6047
43--Row_Boat/43_Row_Boat_Canoe_43_538,2,1.0,0.5,-0.5,0.006944,0.003436,-0.003508,288,291,2,1,286,290,15.1969
7--Cheering/7_Cheering_Cheering_7_724,2,1.0,0.5,-0.5,0.012121,0.009346,-0.002775,165,107,2,1,163,106,40.9796
21--Festival/21_Festival_Festival_21_414,5,1.0,0.6,-0.4,0.003038,0.002469,-0.000569,1646,1215,5,3,1641,1212,43.0314
24--Soldier_Firing/24_Soldier_Firing_Soldier_Firing_24_644,6,1.0,0.666667,-0.333333,0.008242,0.004582,-0.00366,728,873,6,4,722,869,28.1509
0--Parade/0_Parade_Parade_0_917,3,1.0,0.666667,-0.333333,0.002131,0.001873,-0.000258,1408,1068,3,2,1405,1066,21.2638
23--Shoppers/23_Shoppers_Shoppers_23_243,3,1.0,0.666667,-0.333333,0.003783,0.003008,-0.000776,793,665,3,2,790,663,33.0894
25--Soldier_Patrol/25_Soldier_Patrol_Soldier_Patrol_25_707,3,1.0,0.666667,-0.333333,0.011194,0.00995,-0.001244,268,201,3,2,265,199,40.0855
41--Swimming/41_Swimming_Swimming_41_412,3,1.0,0.666667,-0.333333,0.009063,0.007299,-0.001764,331,274,3,2,328,272,24.4167
50--Celebration_Or_Party/50_Celebration_Or_Party_houseparty_50_645,3,1.0,0.666667,-0.333333,0.012,0.014599,0.002599,250,137,3,2,247,135,17.9569
56--Voter/56_Voter_peoplevoting_56_339,3,1.0,0.666667,-0.333333,0.003448,0.003328,-0.00012,870,601,3,2,867,599,33.4191
41--Swimming/41_Swimming_Swimmer_41_607,3,0.666667,0.333333,-0.333333,0.009259,0.003731,-0.005528,216,268,2,1,214,267,58.0306
21--Festival/21_Festival_Festival_21_107,17,0.882353,0.588235,-0.294118,0.007796,0.005872,-0.001924,1924,1703,15,10,1909,1693,40.4612
35--Basketball/35_Basketball_Basketball_35_754,7,0.714286,0.428571,-0.285714,0.005814,0.00491,-0.000904,860,611,5,3,855,608,14.4477
