epoch,gt_tiny,gt_small,gt_medium,gt_large,jsar_before_tiny,jsar_before_small,jsar_before_medium,jsar_before_large,jsar_after_tiny,jsar_after_small,jsar_after_medium,jsar_after_large,boost_ratio_tiny,boost_ratio_small,boost_ratio_medium,boost_ratio_large,before_per_gt_tiny,before_per_gt_small,before_per_gt_medium,before_per_gt_large,after_per_gt_tiny,after_per_gt_small,after_per_gt_medium,after_per_gt_large
1,61665,22633,17173,6300,109578,135792,94775,31631,169030,135801,94775,31631,1.5425541623318548,1.0000662778366913,1.0,1.0,1.7769885672585746,5.999734900366721,5.518837710359285,5.02079365079365,2.7411011108408334,6.000132549816639,5.518837710359285,5.02079365079365
2,62533,22771,17303,6305,110717,136475,95233,31937,169751,136478,95233,31937,1.5331972506480487,1.000021982047994,1.0,1.0,1.7705371563814305,5.9933687585086295,5.503843264173843,5.065344964314036,2.7145827003342236,5.993500505028326,5.503843264173843,5.065344964314036
3,61330,24033,16918,6313,112050,144311,93181,31928,170015,144318,93181,31928,1.51731369924141,1.0000485063508673,1.0,1.0,1.8270014674710582,6.00470186826447,5.50780234070221,5.057500396008237,2.772134355127996,6.004993134440145,5.50780234070221,5.057500396008237
4,64292,23399,16974,6141,117077,140976,94075,31249,178837,140976,94075,31249,1.5275160791615774,1.0,1.0,1.0,1.8210197225160207,6.024872857814437,5.542299988217273,5.088584921022635,2.7816369066135755,6.024872857814437,5.542299988217273,5.088584921022635
5,62697,24127,17703,5863,113394,145193,97703,29766,172668,145195,97703,29766,1.5227260701624425,1.000013774768756,1.0,1.0,1.808603282453706,6.017863804036971,5.519008077726939,5.076923076923077,2.7540073687736255,6.017946698719277,5.519008077726939,5.076923076923077
6,65615,23462,17767,5990,119817,139975,97587,30521,183247,139983,97587,30521,1.5293906540808067,1.0000571530630469,1.0,1.0,1.8260611140745255,5.966030176455545,5.4925986379242415,5.095325542570952,2.792760801645965,5.96637115335436,5.4925986379242415,5.095325542570952
7,68471,24480,17855,5997,120221,146978,98196,30315,184679,146987,98196,30315,1.5361625672719408,1.0000612336540162,1.0,1.0,1.7557944239166947,6.004003267973856,5.499635956314758,5.055027513756879,2.697185669845628,6.00437091503268,5.499635956314758,5.055027513756879
8,66423,24409,17727,5803,118450,146519,97570,29671,179744,146526,97570,29671,1.5174672857745883,1.0000477753738424,1.0,1.0,1.7832678439697094,6.002662952189766,5.50403339538557,5.1130449767361705,2.706050614997817,6.002949731656356,5.50403339538557,5.1130449767361705
9,68498,23584,17819,5772,121735,141404,98207,29594,188173,141414,98207,29594,1.54575923111677,1.0000707193573024,1.0,1.0,1.7772051738736898,5.995759837177747,5.5113642740894555,5.127165627165627,2.7471313031037403,5.996183853459973,5.5113642740894555,5.127165627165627
10,71343,24687,17704,5820,125372,148909,97608,29826,193566,148911,97608,29826,1.5439332546342086,1.0000134310216306,1.0,1.0,1.757313261287022,6.0318791266658565,5.51333032083145,5.124742268041237,2.713174382910727,6.03196014096488,5.51333032083145,5.124742268041237
11,70115,25036,17894,5749,122640,150394,98419,29008,187746,150405,98419,29008,1.5308708414872798,1.00007314121574,1.0,1.0,1.7491264351422662,6.007109761942802,5.500111769308148,5.0457470864498175,2.6776866576338874,6.007549129253874,5.500111769308148,5.0457470864498175
12,67926,25871,17615,5724,123281,155577,96639,29068,187786,155581,96639,29068,1.5232355350783982,1.0000257107413049,1.0,1.0,1.8149309542737686,6.013567314753971,5.486176554073233,5.078266946191475,2.7645673232635515,6.013721928027521,5.486176554073233,5.078266946191475
13,70840,25170,17817,5677,127473,150924,97930,29092,194542,150936,97930,29092,1.5261427910224126,1.000079510217063,1.0,1.0,1.7994494635798983,5.996185935637664,5.4964359881012514,5.124537607891492,2.7462168266516094,5.996662693682956,5.4964359881012514,5.124537607891492
14,70988,24186,18082,5616,125725,144651,99429,28422,192698,144656,99429,28422,1.5326943726386955,1.0000345659552994,1.0,1.0,1.7710739843353807,5.980774001488465,5.498783320429156,5.060897435897436,2.7145151293176313,5.980980732655255,5.498783320429156,5.060897435897436
15,68433,25433,18018,5628,124718,152270,98688,28452,190917,152271,98688,28452,1.5307894610240702,1.0000065672818022,1.0,1.0,1.822483304838309,5.987103369637872,5.477189477189477,5.0554371002132195,2.7898382359388014,5.987142688632878,5.477189477189477,5.0554371002132195
16,67463,25593,18222,5759,118137,153445,100176,29455,180616,153451,100176,29455,1.528869024945614,1.0000391019583563,1.0,1.0,1.751137660643612,5.995584730199664,5.497530457688509,5.114603229727384,2.6772601277737427,5.995819169304107,5.497530457688509,5.114603229727384
17,69438,25383,17634,5651,125219,152355,97084,28556,190430,152362,97084,28556,1.5207756011467908,1.0000459453250632,1.0,1.0,1.8033209481839916,6.00224559744711,5.505500737212204,5.053264908865687,2.7424464990351103,6.002521372572194,5.505500737212204,5.053264908865687
18,70391,24246,17926,5684,125353,145831,99047,28839,192672,145838,99047,28839,1.5370354119965217,1.0000480007680124,1.0,1.0,1.7808100467389296,6.014641590365421,5.525326341626688,5.073715693173821,2.737168103876916,6.014930297781078,5.525326341626688,5.073715693173821
19,71160,25438,17963,5527,131210,152637,98690,27882,199576,152641,98690,27882,1.5210426034601021,1.000026205965788,1.0,1.0,1.8438729623383923,6.0003538013994815,5.4940711462450595,5.044689705084132,2.804609331084879,6.000511046465917,5.4940711462450595,5.044689705084132
20,69729,24149,17986,5653,129055,145503,99049,28707,196426,145507,99049,28707,1.5220332416411608,1.0000274908421132,1.0,1.0,1.8508081286121987,6.025218435545986,5.507005448682309,5.078188572439413,2.816991495647435,6.025384073874695,5.507005448682309,5.078188572439413
21,70683,24608,17895,5615,125818,147581,97908,28548,193217,147587,97908,28548,1.5356864677550113,1.0000406556399537,1.0,1.0,1.7800319737419181,5.997277308192458,5.471248952221291,5.0842386464826355,2.7335710142467073,5.9975211313394015,5.471248952221291,5.0842386464826355
22,75729,24764,17453,5626,129877,148200,95741,28644,200933,148205,95741,28644,1.5471022582905365,1.0000337381916329,1.0,1.0,1.7150233067913216,5.984493619770634,5.485647166676216,5.091361535726982,2.6533164309577573,5.984695525763205,5.485647166676216,5.091361535726982
23,67482,24921,18496,5603,121452,148946,101827,28590,185462,148959,101827,28590,1.5270394888515628,1.0000872799538087,1.0,1.0,1.7997688272428203,5.976726455599695,5.505352508650519,5.102623594502945,2.7483180700038528,5.977248104008668,5.505352508650519,5.102623594502945
24,72090,25642,17627,5657,129748,155023,96808,28730,198816,155041,96808,28730,1.532324197675494,1.0001161118027648,1.0,1.0,1.799805798307671,6.045667264643943,5.492029273273955,5.078663602616228,2.757885975863504,6.046369237968957,5.492029273273955,5.078663602616228
25,69028,25674,17989,5621,123902,155097,98921,28718,189176,155110,98921,28718,1.5268195832189957,1.0000838185135754,1.0,1.0,1.7949527727878543,6.041014255667212,5.498971593751738,5.109055328233411,2.7405690444457322,6.04152060450261,5.498971593751738,5.109055328233411
26,70505,25469,18157,5523,128512,153324,99956,28057,196112,153333,99956,28057,1.5260209163346614,1.0000586992251703,1.0,1.0,1.8227359761719026,6.02002434331933,5.505094453929614,5.08002896976281,2.7815332245940003,6.020377714083788,5.505094453929614,5.08002896976281
27,70787,24448,17926,5670,126349,147361,98773,28851,193718,147365,98773,28851,1.5331977300967954,1.0000271442240485,1.0,1.0,1.7849181346857474,6.027527814136126,5.510041280821154,5.088359788359789,2.736632432508794,6.027691426701571,5.510041280821154,5.088359788359789
28,68890,25387,17789,5604,127041,151736,97575,28287,192780,151739,97575,28287,1.5174628663187475,1.0000197711815257,1.0,1.0,1.8441138046160546,5.976917319888131,5.4851312608915626,5.047644539614561,2.7983742197706487,5.977035490605428,5.4851312608915626,5.047644539614561
29,68140,25462,17793,5607,125346,153552,97989,28300,190016,153558,97989,28300,1.5159319004994176,1.0000390747108472,1.0,1.0,1.839536248899325,6.03063388579059,5.507165739335694,5.0472623506331376,2.788611681831523,6.030869531065902,5.507165739335694,5.0472623506331376
30,70734,25457,17807,5686,121858,153577,97996,28937,187035,153583,97996,28937,1.534860247172939,1.0000390683500784,1.0,1.0,1.7227641586789946,6.032800408532035,5.503229067220756,5.089166373549068,2.644202222410722,6.0330361000903485,5.503229067220756,5.089166373549068
31,68976,25870,17725,5715,123906,155280,97286,29012,188698,155289,97286,29012,1.522912530466644,1.0000579598145285,1.0,1.0,1.7963639526791928,6.002319288751449,5.488631875881524,5.0764654418197726,2.7357051728137325,6.002667182064167,5.488631875881524,5.0764654418197726
32,69644,24703,18279,5660,125630,148619,100356,28619,193054,148628,100356,28619,1.5366870970309638,1.0000605575330206,1.0,1.0,1.803888346447648,6.01623284621301,5.490234695552273,5.056360424028268,2.772011946470622,6.016597174432255,5.490234695552273,5.056360424028268
33,69444,24807,18083,5610,126145,148449,99416,28468,194954,148452,99416,28468,1.5454754449244916,1.0000202089606531,1.0,1.0,1.8164996255976038,5.984157697424114,5.497760327379306,5.074509803921568,2.8073555670756294,5.984278631031564,5.497760327379306,5.074509803921568
34,69488,25004,18326,5570,125573,149964,100439,28425,191442,149976,100439,28425,1.5245474743774539,1.000080019204609,1.0,1.0,1.8071177757310615,5.99760038393857,5.480683182363855,5.1032315978456015,2.755036840893392,5.998080307150856,5.480683182363855,5.1032315978456015
35,71123,25235,18085,5553,127552,151939,99442,28293,195665,151946,99442,28293,1.5340018188660312,1.0000460711206471,1.0,1.0,1.793400165909762,6.020962948286111,5.498589991705834,5.095083738519719,2.751079116460217,6.0212403407965125,5.498589991705834,5.095083738519719
36,67311,25249,18047,5613,121359,152797,99329,28331,184095,152806,99329,28331,1.5169455911798877,1.0000589016800068,1.0,1.0,1.802959397423898,6.051606004198186,5.503906466448718,5.047389987528951,2.7349913089985294,6.051962453958573,5.503906466448718,5.047389987528951
37,71444,24815,18048,5551,125987,150210,99530,28258,194420,150217,99530,28258,1.5431750894933605,1.000046601424672,1.0,1.0,1.7634370975869211,6.053193632883337,5.514738475177305,5.090614303729057,2.721292200884609,6.053475720330446,5.514738475177305,5.090614303729057
38,71949,25150,17708,5585,129116,151703,97193,28419,197619,151707,97193,28419,1.5305539205055918,1.0000263673098093,1.0,1.0,1.7945489165936983,6.031928429423459,5.488649198102553,5.088451208594449,2.7466538798315474,6.032087475149106,5.488649198102553,5.088451208594449
39,68127,24459,18309,5593,123540,146645,100863,28335,188542,146652,100863,28335,1.526161567103772,1.0000477343243888,1.0,1.0,1.8133779558765246,5.995543562696758,5.508930034409307,5.066154121222957,2.7675077428919517,5.995829755918067,5.508930034409307,5.066154121222957
40,70345,25479,18139,5564,126236,153483,98850,27926,194074,153496,98850,27926,1.537390284863272,1.0000846999341946,1.0,1.0,1.7945269741985928,6.023902036971624,5.449583769777827,5.019051042415528,2.758888336058,6.02441226107775,5.449583769777827,5.019051042415528
41,71918,24903,18069,5561,125505,149859,99433,28210,193003,149867,99433,28210,1.5378112425799768,1.0000533835138363,1.0,1.0,1.7451124892238383,6.017708709794,5.502960872212076,5.072828627944614,2.6836536054951474,6.018029956230173,5.502960872212076,5.072828627944614
42,71732,24893,17724,5657,125570,149442,97453,28711,191922,149457,97453,28711,1.5284064665127022,1.000100373389007,1.0,1.0,1.7505436904031673,6.00337444261439,5.498363800496502,5.075304931942726,2.6755422963252107,6.003977021652673,5.498363800496502,5.075304931942726
43,70532,24965,17902,5589,127010,150109,98522,28548,194225,150114,98522,28548,1.5292102984017006,1.0000333091287,1.0,1.0,1.8007429251970737,6.012777889044663,5.503407440509441,5.107890499194847,2.7537146259853684,6.012978169437212,5.503407440509441,5.107890499194847
44,71803,24956,17797,5604,126988,149858,97889,28140,194884,149865,97889,28140,1.534664692726872,1.0000467108863058,1.0,1.0,1.768561202178182,6.004888603942939,5.500309040849581,5.0214132762312635,2.714148433909447,6.005169097611796,5.500309040849581,5.0214132762312635
45,72107,24964,17971,5622,127155,149984,98380,28436,194812,149992,98380,28436,1.532082890959852,1.000053339022829,1.0,1.0,1.763421027084749,6.008011536612722,5.474375382560792,5.057986481679118,2.701707185155394,6.008331998077232,5.474375382560792,5.057986481679118
46,70814,25682,17764,5610,123865,154153,98066,28526,189662,154165,98066,28526,1.5311992895491058,1.0000778447386687,1.0,1.0,1.7491597706668174,6.002375204423331,5.520490880432335,5.084848484848485,2.6783121981529074,6.002842457752512,5.520490880432335,5.084848484848485
47,70714,24905,18110,5601,123712,149782,99049,28355,189805,149787,99049,28355,1.5342489006725297,1.0000333818482863,1.0,1.0,1.7494696948270498,6.014133708090744,5.469298729983435,5.062488841278343,2.6841219560483074,6.014334470989761,5.469298729983435,5.062488841278343
48,66859,26212,17788,5613,123438,158574,98084,28581,187654,158584,98084,28581,1.5202287788201365,1.0000630620404354,1.0,1.0,1.8462435872507814,6.049671905997253,5.514054418709242,5.09192944949225,2.8067126340507635,6.05005341065161,5.514054418709242,5.09192944949225
49,70226,24647,17953,5580,123252,148134,99309,28431,190037,148142,99309,28431,1.5418573329438874,1.0000540051574924,1.0,1.0,1.7550764674052346,6.0102243680772505,5.531610315824653,5.09516129032258,2.7060775211460144,6.010548951190814,5.531610315824653,5.09516129032258
50,74130,25277,17619,5628,128636,151872,96763,28705,198009,151875,96763,28705,1.5392969308747162,1.000019753476612,1.0,1.0,1.7352758667206258,6.00830794793686,5.491968897213236,5.100390902629709,2.6711048158640227,6.008426632907386,5.491968897213236,5.100390902629709
51,73676,25508,17563,5620,129005,153443,96797,28401,198474,153455,96797,28401,1.5384985078097748,1.0000782049360348,1.0,1.0,1.7509772517509095,6.015485337933198,5.511416045094801,5.05355871886121,2.6938758890276344,6.015955778579269,5.511416045094801,5.05355871886121
52,74034,25191,17880,5552,126918,151104,98798,28251,197037,151119,98798,28251,1.552474826265778,1.0000992693773825,1.0,1.0,1.7143204473620228,5.998332737882577,5.525615212527964,5.088436599423631,2.6614393386822273,5.9989281886388,5.525615212527964,5.088436599423631
53,70165,25016,18082,5690,124329,150395,98904,28837,189415,150397,98904,28837,1.5234981380048098,1.0000132983144387,1.0,1.0,1.7719518278343904,6.011952350495683,5.4697489215794715,5.0680140597539545,2.699565310339913,6.01203229932843,5.4697489215794715,5.0680140597539545
