image_id,hard_gt_count,baseline_recall,improved_recall,recall_delta,baseline_precision_proxy,improved_precision_proxy,precision_proxy_delta,baseline_pred_count,improved_pred_count,baseline_tp,improved_tp,baseline_fp,improved_fp,mean_hard_face_size
21--Festival/21_Festival_Festival_21_640,1,0.0,1.0,1.0,0.0,0.002203,0.002203,410,454,0,1,410,453,11.4891
25--Soldier_Patrol/25_Soldier_Patrol_Soldier_Patrol_25_324,1,0.0,1.0,1.0,0.0,0.007752,0.007752,163,129,0,1,163,128,64.9923
41--Swimming/41_Swimming_Swimming_41_26,1,0.0,1.0,1.0,0.0,0.003876,0.003876,356,258,0,1,356,257,77.5887
47--Matador_Bullfighter/47_Matador_Bullfighter_matadorbullfighting_47_354,1,0.0,1.0,1.0,0.0,0.004329,0.004329,254,231,0,1,254,230,81.9756
39--Ice_Skating/39_Ice_Skating_Ice_Skating_39_389,9,0.444444,1.0,0.555556,0.008421,0.016216,0.007795,475,555,4,9,471,546,9.5237
37--Soccer/37_Soccer_soccer_ball_37_171,2,0.5,1.0,0.5,0.007576,0.008811,0.001235,132,227,1,2,131,225,20.8446
39--Ice_Skating/39_Ice_Skating_iceskiing_39_529,2,0.5,1.0,0.5,0.005882,0.0125,0.006618,170,160,1,2,169,158,78.1771
39--Ice_Skating/39_Ice_Skating_iceskiing_39_778,2,0.5,1.0,0.5,0.002786,0.00939,0.006604,359,213,1,2,358,211,21.6624
43--Row_Boat/43_Row_Boat_Rowboat_43_717,2,0.5,1.0,0.5,0.003559,0.008511,0.004952,281,235,1,2,280,233,30.9093
51--Dresses/51_Dresses_wearingdress_51_77,2,0.5,1.0,0.5,0.002833,0.007143,0.00431,353,280,1,2,352,278,16.8775
57--Angler/57_Angler_peoplefishing_57_104,2,0.5,1.0,0.5,0.004098,0.008584,0.004485,244,233,1,2,243,231,29.1247
57--Angler/57_Angler_peoplefishing_57_120,2,0.5,1.0,0.5,0.003937,0.00995,0.006013,254,201,1,2,253,199,37.3798
7--Cheering/7_Cheering_Cheering_7_724,2,0.5,1.0,0.5,0.008772,0.015385,0.006613,114,130,1,2,113,128,40.9796
35--Basketball/35_Basketball_basketballgame_ball_35_478,7,0.285714,0.714286,0.428571,0.001448,0.003554,0.002105,1381,1407,2,5,1379,1402,20.9947
35--Basketball/35_Basketball_Basketball_35_754,7,0.428571,0.857143,0.428571,0.00406,0.008942,0.004882,739,671,3,6,736,665,14.4477
5--Car_Accident/5_Car_Accident_Accident_5_460,12,0.5,0.916667,0.416667,0.009615,0.015193,0.005578,624,724,6,11,618,713,12.3708
12--Group/12_Group_Large_Group_12_Group_Large_Group_12_86,10,0.5,0.9,0.4,0.005574,0.009901,0.004327,897,909,5,9,892,900,9.8675
12--Group/12_Group_Large_Group_12_Group_Large_Group_12_849,5,0.4,0.8,0.4,0.001416,0.002928,0.001512,1412,1366,2,4,1410,1362,15.7536
14--Traffic/14_Traffic_Traffic_14_834,5,0.4,0.8,0.4,0.001663,0.003125,0.001462,1203,1280,2,4,1201,1276,13.5555
24--Soldier_Firing/24_Soldier_Firing_Soldier_Firing_24_315,5,0.6,1.0,0.4,0.005792,0.009843,0.004051,518,508,3,5,515,503,36.0899
3--Riot/3_Riot_Riot_3_438,5,0.6,1.0,0.4,0.002745,0.007825,0.00508,1093,639,3,5,1090,634,22.1626
10--People_Marching/10_People_Marching_People_Marching_2_404,14,0.5,0.857143,0.357143,0.006452,0.013746,0.007294,1085,873,7,12,1078,861,16.7553
20--Family_Group/20_Family_Group_Family_Group_20_799,9,0.666667,1.0,0.333333,0.014528,0.015025,0.000497,413,599,6,9,407,590,56.9874
8--Election_Campain/8_Election_Campain_Election_Campaign_8_347,9,0.666667,1.0,0.333333,0.020979,0.027523,0.006544,286,327,6,9,280,318,19.8337
37--Soccer/37_Soccer_soccer_ball_37_692,6,0.666667,1.0,0.333333,0.003887,0.004651,0.000764,1029,1290,4,6,1025,1284,10.7244
0--Parade/0_Parade_Parade_0_917,3,0.666667,1.0,0.333333,0.002066,0.003158,0.001092,968,950,2,3,966,947,21.2638
2--Demonstration/2_Demonstration_Demonstration_Or_Protest_2_183,3,0.666667,1.0,0.333333,0.003636,0.009063,0.005427,550,331,2,3,548,328,63.2609
29--Students_Schoolkids/29_Students_Schoolkids_Students_Schoolkids_29_208,3,0.666667,1.0,0.333333,0.006173,0.008696,0.002523,324,345,2,3,322,342,54.5475
54--Rescue/54_Rescue_rescuepeople_54_102,3,0.666667,1.0,0.333333,0.001932,0.003135,0.001202,1035,957,2,3,1033,954,20.726
58--Hockey/58_Hockey_icehockey_puck_58_431,3,0.666667,1.0,0.333333,0.013605,0.026549,0.012943,147,113,2,3,145,110,88.9176
