image_id,hard_gt_count,baseline_recall,improved_recall,recall_delta,baseline_precision_proxy,improved_precision_proxy,precision_proxy_delta,baseline_pred_count,improved_pred_count,baseline_tp,improved_tp,baseline_fp,improved_fp,mean_hard_face_size
6--Funeral/6_Funeral_Funeral_6_759,60,1.0,0.0,-1.0,0.04158,0.0,-0.04158,1443,0,60,0,1383,0,33.7813
58--Hockey/58_Hockey_icehockey_puck_58_212,46,1.0,0.0,-1.0,0.025275,0.0,-0.025275,1820,0,46,0,1774,0,22.7567
38--Tennis/38_Tennis_Tennis_38_535,43,1.0,0.0,-1.0,0.02163,0.0,-0.02163,1988,0,43,0,1945,0,24.2143
4--Dancing/4_Dancing_Dancing_4_489,39,1.0,0.0,-1.0,0.035009,0.0,-0.035009,1114,0,39,0,1075,0,38.1471
39--Ice_Skating/39_Ice_Skating_Ice_Skating_39_992,36,1.0,0.0,-1.0,0.020478,0.0,-0.020478,1758,0,36,0,1722,0,55.235
45--Balloonist/45_Balloonist_Balloonist_45_838,33,1.0,0.0,-1.0,0.027523,0.0,-0.027523,1199,0,33,0,1166,0,34.4019
39--Ice_Skating/39_Ice_Skating_Ice_Skating_39_1047,28,1.0,0.0,-1.0,0.023333,0.0,-0.023333,1200,0,28,0,1172,0,25.6955
4--Dancing/4_Dancing_Dancing_4_319,28,1.0,0.0,-1.0,0.025385,0.0,-0.025385,1103,0,28,0,1075,0,36.4401
56--Voter/56_Voter_peoplevoting_56_122,28,1.0,0.0,-1.0,0.020911,0.0,-0.020911,1339,0,28,0,1311,0,34.9338
35--Basketball/35_Basketball_basketballgame_ball_35_998,27,1.0,0.0,-1.0,0.009698,0.0,-0.009698,2784,0,27,0,2757,0,37.5105
40--Gymnastics/40_Gymnastics_Gymnastics_40_891,27,1.0,0.0,-1.0,0.030578,0.0,-0.030578,883,0,27,0,856,0,31.7706
7--Cheering/7_Cheering_Cheering_7_413,27,1.0,0.0,-1.0,0.027245,0.0,-0.027245,991,0,27,0,964,0,35.4281
37--Soccer/37_Soccer_soccer_ball_37_114,26,1.0,0.0,-1.0,0.04475,0.0,-0.04475,581,0,26,0,555,0,33.701
58--Hockey/58_Hockey_icehockey_puck_58_221,26,1.0,0.0,-1.0,0.013145,0.0,-0.013145,1978,0,26,0,1952,0,48.4167
38--Tennis/38_Tennis_Tennis_38_371,25,1.0,0.0,-1.0,0.035714,0.0,-0.035714,700,0,25,0,675,0,29.461
40--Gymnastics/40_Gymnastics_Gymnastics_40_273,24,1.0,0.0,-1.0,0.027119,0.0,-0.027119,885,0,24,0,861,0,34.6318
58--Hockey/58_Hockey_icehockey_puck_58_835,24,1.0,0.0,-1.0,0.026786,0.0,-0.026786,896,0,24,0,872,0,37.2583
40--Gymnastics/40_Gymnastics_Gymnastics_40_887,23,1.0,0.0,-1.0,0.037398,0.0,-0.037398,615,0,23,0,592,0,51.8946
55--Sports_Coach_Trainer/55_Sports_Coach_Trainer_sportcoaching_55_789,23,1.0,0.0,-1.0,0.035881,0.0,-0.035881,641,0,23,0,618,0,47.8185
58--Hockey/58_Hockey_icehockey_puck_58_245,23,1.0,0.0,-1.0,0.023687,0.0,-0.023687,971,0,23,0,948,0,33.9863
37--Soccer/37_Soccer_soccer_ball_37_269,22,1.0,0.0,-1.0,0.029891,0.0,-0.029891,736,0,22,0,714,0,32.4485
58--Hockey/58_Hockey_icehockey_puck_58_825,22,1.0,0.0,-1.0,0.04,0.0,-0.04,550,0,22,0,528,0,34.117
61--Street_Battle/61_Street_Battle_streetfight_61_276,22,1.0,0.0,-1.0,0.047722,0.0,-0.047722,461,0,22,0,439,0,26.9044
49--Greeting/49_Greeting_peoplegreeting_49_53,21,1.0,0.0,-1.0,0.014354,0.0,-0.014354,1463,0,21,0,1442,0,55.5523
46--Jockey/46_Jockey_Jockey_46_352,20,1.0,0.0,-1.0,0.038023,0.0,-0.038023,526,0,20,0,506,0,46.2655
6--Funeral/6_Funeral_Funeral_6_252,20,1.0,0.0,-1.0,0.008973,0.0,-0.008973,2229,0,20,0,2209,0,65.7603
37--Soccer/37_Soccer_soccer_ball_37_907,19,1.0,0.0,-1.0,0.004973,0.0,-0.004973,3821,0,19,0,3802,0,40.9907
4--Dancing/4_Dancing_Dancing_4_84,19,1.0,0.0,-1.0,0.026723,0.0,-0.026723,711,0,19,0,692,0,28.0889
5--Car_Accident/5_Car_Accident_Accident_5_628,18,1.0,0.0,-1.0,0.007874,0.0,-0.007874,2286,0,18,0,2268,0,26.1322
55--Sports_Coach_Trainer/55_Sports_Coach_Trainer_sportcoaching_55_516,17,1.0,0.0,-1.0,0.033138,0.0,-0.033138,513,0,17,0,496,0,37.807
