epoch,gt_tiny,gt_small,gt_medium,gt_large,jsar_before_tiny,jsar_before_small,jsar_before_medium,jsar_before_large,jsar_after_tiny,jsar_after_small,jsar_after_medium,jsar_after_large,boost_ratio_tiny,boost_ratio_small,boost_ratio_medium,boost_ratio_large,before_per_gt_tiny,before_per_gt_small,before_per_gt_medium,before_per_gt_large,after_per_gt_tiny,after_per_gt_small,after_per_gt_medium,after_per_gt_large
1,77918,25440,17317,4827,131392,152834,94611,24233,202806,152841,94611,24233,1.5435186312713103,1.0000458013269298,1.0,1.0,1.6862855822788059,6.007625786163522,5.463475197782526,5.020302465299358,2.602813213891527,6.007900943396226,5.463475197782526,5.020302465299358
2,81535,24163,17288,4885,132939,145108,95432,24525,206692,145114,95432,24525,1.5547882863569005,1.0000413485128319,1.0,1.0,1.6304531796161157,6.005380126639904,5.520129569643683,5.020470829068577,2.5350095051205006,6.00562844017713,5.520129569643683,5.020470829068577
3,77159,26128,17206,4820,131081,157613,94093,24299,201498,157627,94093,24299,1.5372021879601163,1.0000888251603612,1.0,1.0,1.6988426495936961,6.032340783833435,5.468615599209578,5.041286307053942,2.611464637955391,6.032876607470913,5.468615599209578,5.041286307053942
4,79698,26212,16942,4850,133130,159022,92560,24433,203842,159026,92560,24433,1.5311500037557275,1.000025153752311,1.0,1.0,1.6704308765590103,6.066763314512437,5.463345531814426,5.037731958762887,2.557680242917012,6.06691591637418,5.463345531814426,5.037731958762887
5,77710,26227,17474,4843,133550,158832,95526,24506,206288,158837,95526,24506,1.544649943841258,1.0000314798025587,1.0,1.0,1.7185690387337538,6.056049109696115,5.466750600892755,5.060086723105513,2.6545875691674174,6.056239752926373,5.466750600892755,5.060086723105513
6,81261,25715,17349,4842,138988,155283,95409,24530,213774,155287,95409,24530,1.5380752295162172,1.0000257594198978,1.0,1.0,1.710389977972213,6.038615594011278,5.499394777796991,5.0660883932259395,2.630708457931849,6.038771145245965,5.499394777796991,5.0660883932259395
7,79797,25477,17583,4913,136604,153549,96891,24720,208085,153552,96891,24720,1.5232716465110832,1.0000195377371393,1.0,1.0,1.7118939308495307,6.0269654982925775,5.510493089916396,5.031548951760635,2.607679486697495,6.027083251560231,5.510493089916396,5.031548951760635
8,79056,26072,17463,4911,135661,157751,96006,24804,208580,157757,96006,24804,1.5375089377197573,1.0000380346241862,1.0,1.0,1.7160114349322,6.050590671985272,5.497680810857241,5.050702504581552,2.6383829184375633,6.050820803927585,5.497680810857241,5.050702504581552
9,79799,25576,17828,4928,134009,153122,97635,25063,207291,153140,97635,25063,1.546843868695386,1.0001175533234936,1.0,1.0,1.6793318212007668,5.986940882076947,5.476497644155262,5.085836038961039,2.597664131129463,5.9876446668751955,5.476497644155262,5.085836038961039
10,75061,26903,17528,4928,135497,162206,96609,24919,206173,162214,96609,24919,1.5216056444054111,1.0000493200004932,1.0,1.0,1.8051584711101638,6.029290413708508,5.51169557279781,5.056615259740259,2.7467393186874673,6.029587778314686,5.51169557279781,5.056615259740259
11,79263,26254,17577,4864,136067,158661,96501,24743,209312,158666,96501,24743,1.5383009840740223,1.0000315137305325,1.0,1.0,1.7166521580056269,6.043307686447779,5.490186038573135,5.086965460526316,2.64072770397285,6.043498133617734,5.490186038573135,5.086965460526316
12,79293,25746,18098,4921,134669,154275,98590,24863,210821,154283,98590,24863,1.565475350674617,1.000051855452925,1.0,1.0,1.698371861324455,5.992192962013517,5.4475632666593,5.052428368217842,2.658759285182803,5.992503689893575,5.4475632666593,5.052428368217842
13,79034,25921,17930,4961,138996,156641,98305,25142,211401,156649,98305,25142,1.520914270914271,1.0000510721969345,1.0,1.0,1.7586861350811043,6.043015315767138,5.482710540992749,5.067929852852248,2.674810840903915,6.043323945835423,5.482710540992749,5.067929852852248
14,80617,25805,17999,4799,135726,155298,98869,24271,208966,155306,98869,24271,1.539616580463581,1.0000515138636685,1.0,1.0,1.68359030973616,6.018136020151133,5.493027390410578,5.057511981662846,2.5920835555776076,6.018446037589614,5.493027390410578,5.057511981662846
15,79231,26056,17801,4918,135774,157015,97992,25124,207561,157022,97992,25124,1.5287242034557427,1.0000445817278605,1.0,1.0,1.7136474359783418,6.026059256984955,5.504859277568676,5.108580723871492,2.6196943115699662,6.026327909118821,5.504859277568676,5.108580723871492
16,79950,25438,17710,4870,136740,153629,97095,24591,209708,153640,97095,24591,1.5336258592950125,1.0000716010649031,1.0,1.0,1.7103189493433395,6.039350577875619,5.482495765104461,5.0494866529774125,2.622989368355222,6.039783001808318,5.482495765104461,5.0494866529774125
17,81124,25935,17639,4977,138967,156168,97213,24966,213556,156178,97213,24966,1.5367389380212568,1.0000640336048359,1.0,1.0,1.7130195749716484,6.021515326778485,5.511253472419072,5.01627486437613,2.632463882451556,6.021900906111433,5.511253472419072,5.01627486437613
18,79054,25684,18207,4918,136049,154341,99842,24824,209744,154348,99842,24824,1.5416798359414623,1.000045354118478,1.0,1.0,1.7209628861284691,6.009227534651924,5.483715054649311,5.047580317202114,2.653173779947884,6.0095000778694905,5.483715054649311,5.047580317202114
19,77835,25808,18019,4938,135706,155637,98902,24728,207682,155644,98902,24728,1.5303818548921935,1.000044976451615,1.0,1.0,1.7435087043104003,6.030571915685059,5.488761862478495,5.007695423248279,2.668234084923235,6.0308431494110355,5.488761862478495,5.007695423248279
20,78197,26589,17822,4932,137528,160580,97646,25101,211910,160582,97646,25101,1.5408498633005643,1.0000124548511646,1.0,1.0,1.7587375474762459,6.039339576516604,5.478958590506116,5.089416058394161,2.709950509610343,6.039414795592162,5.478958590506116,5.089416058394161
