cascade_set,scaleFactor,minNeighbors,minSize,maxAreaRatio,det,panel_hits,oversize,mean_area_ratio,score
fd+fa2,1.03,1,24,0.2,27.0,9.0,0.0,0.027973989195118527,0.0
fd+fa2,1.03,1,24,0.25,27.0,9.0,0.0,0.027973989195118527,0.0
fd+fa2,1.03,1,24,0.3,27.0,9.0,0.0,0.027973989195118527,0.0
fd+fa2,1.05,1,14,0.2,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,14,0.25,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,14,0.3,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,16,0.2,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,16,0.25,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,16,0.3,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,18,0.2,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,18,0.25,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,18,0.3,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,20,0.2,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,20,0.25,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.05,1,20,0.3,27.0,9.0,0.0,0.03309474625795951,0.0
fd+fa2,1.03,2,14,0.2,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,14,0.25,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,14,0.3,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,16,0.2,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,16,0.25,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,16,0.3,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,18,0.2,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,18,0.25,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,18,0.3,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,20,0.2,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,20,0.25,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.03,2,20,0.3,24.0,9.0,0.0,0.028069989168742277,3.0
fd+fa2,1.05,1,24,0.2,24.0,9.0,0.0,0.036219640367422146,3.0
fd+fa2,1.05,1,24,0.25,24.0,9.0,0.0,0.036219640367422146,3.0
fd+fa2,1.05,1,24,0.3,24.0,9.0,0.0,0.036219640367422146,3.0
fd,1.03,1,14,0.2,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,14,0.25,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,14,0.3,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,16,0.2,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,16,0.25,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,16,0.3,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,18,0.2,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,18,0.25,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,18,0.3,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,20,0.2,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,20,0.25,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,20,0.3,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,24,0.2,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,24,0.25,23.0,9.0,0.0,0.030043678312454847,4.0
fd,1.03,1,24,0.3,23.0,9.0,0.0,0.030043678312454847,4.0
fd+fa2,1.03,1,14,0.2,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,14,0.25,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,14,0.3,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,16,0.2,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,16,0.25,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,16,0.3,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,18,0.2,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,18,0.25,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,18,0.3,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,20,0.2,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,20,0.25,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,1,20,0.3,31.0,9.0,0.0,0.02545224744824088,4.0
fd+fa2,1.03,3,14,0.2,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,14,0.25,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,14,0.3,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,16,0.2,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,16,0.25,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,16,0.3,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,18,0.2,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,18,0.25,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,18,0.3,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,20,0.2,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,20,0.25,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.03,3,20,0.3,23.0,9.0,0.0,0.02829985025420592,4.0
fd+fa2,1.05,2,14,0.2,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,14,0.25,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,14,0.3,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,16,0.2,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,16,0.25,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,16,0.3,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,18,0.2,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,18,0.25,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,18,0.3,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,20,0.2,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,20,0.25,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.05,2,20,0.3,21.0,9.0,0.0,0.030847215863932968,6.0
fd+fa2,1.07,1,14,0.2,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,14,0.25,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,14,0.3,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,16,0.2,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,16,0.25,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,16,0.3,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,18,0.2,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,18,0.25,21.0,9.0,0.0,0.02958013204479974,6.0
fd+fa2,1.07,1,18,0.3,21.0,9.0,0.0,0.02958013204479974,6.0
